Aceite de oliva 0,4º Hacendado | Garrafa | 5 Litros
Langostino cocido y pelado Hacendado ultracongelado | Bandeja | 220 Gramos escurrido
Langostino crudo y pelado Hacendado ultracongelado | Bandeja | 220 Gramos escurrido
Cigala cruda mediana Hacendado ultracongelada | Caja | 340 Gramos aprox.
Bogavante americano mediano crudo Hacendado | Pieza | 475 Gramos aprox. escurrido
Buey de mar cocido Hacendado congelado | Pieza | 715 Gramos aprox.
Nécora cocida Hacendado congelada | Caja | 500 Gramos escurrido
Colas de gambón crudo Hacendado congelado | Bandeja | 250 Gramos
Langostino cocido | Bandeja | 600 Gramos aprox.
Salpicón de marisco Hacendado | Bandeja | 400 Gramos aprox.
Mejillón | Malla | 1 Kilo
Carne de mejillón de Chile cocido Hacendado ultracongelado | Paquete | 275 Gramos escurrido
Mejillón de Chile entero cocido Hacendado ultracongelado | Caja | 450 Gramos
Almeja japonesa | Malla | 500 Gramos
Almeja Hacendado congelada | Paquete | 450 Gramos
Berberechos | Malla | 500 Gramos
Navajas | Malla | 500 Gramos
Chirla | Malla | 500 Gramos
Mejillón selección | Malla | 1 Kilo
Mejillón vivo | Bandeja | 1 Kilo
Palitos de surimi Hacendado | Paquete | 460 Gramos
Palitos de surimi Hacendado ultracongelados | Paquete | 600 Gramos
Muslitos de surimi Hacendado ultracongelados | Paquete | 450 Gramos
Delicias del mar de surimi Hacendado | Bandeja | 250 Gramos
Preparado de paella y sopa Hacendado ultracongelado | Paquete | 685 Gramos escurrido
Arreglo de marisco pelado | Bandeja | 450 Gramos aprox.
Gambón congelado | Granel | 150 Gramos aprox.
Gambón grande congelado | Caja | 2 Kilos
Langostino cocido | Granel | 150 Gramos aprox.
Langostino crudo Hacendado ultracongelado | Caja | 600 Gramos escurrido
Gamba arrocera pequeña Hacendado congelada | Caja | 400 Gramos
Gamba cocida | Bandeja | 300 Gramos
Gamba pelada cruda tamaño mediano Hacendado ultracongelada | Paquete | 360 Gramos escurrido
Gamba pelada cruda tamaño grande Hacendado ultracongelada | Paquete | 360 Gramos escurrido
Camarón boreal cocido y pelado Royal Greenland ultracongelado | Paquete | 200 Gramos
Langostino cocido y pelado Hacendado ultracongelado | Bandeja | 220 Gramos escurrido
Langostino crudo y pelado Hacendado ultracongelado | Bandeja | 220 Gramos escurrido
Cigala cruda mediana Hacendado ultracongelada | Caja | 340 Gramos aprox.
Bogavante americano mediano crudo Hacendado | Pieza | 475 Gramos aprox. escurrido
Buey de mar cocido Hacendado congelado | Pieza | 715 Gramos aprox.
Nécora cocida Hacendado congelada | Caja | 500 Gramos escurrido
Colas de gambón crudo Hacendado congelado | Bandeja | 250 Gramos
Langostino cocido | Bandeja | 600 Gramos aprox.
Salpicón de marisco Hacendado | Bandeja | 400 Gramos aprox.
Mejillón | Malla | 1 Kilo
Carne de mejillón de Chile cocido Hacendado ultracongelado | Paquete | 275 Gramos escurrido
Mejillón de Chile entero cocido Hacendado ultracongelado | Caja | 450 Gramos
Almeja japonesa | Malla | 500 Gramos
Almeja Hacendado congelada | Paquete | 450 Gramos
Berberechos | Malla | 500 Gramos
Navajas | Malla | 500 Gramos
Chirla | Malla | 500 Gramos
Mejillón selección | Malla | 1 Kilo
Mejillón vivo | Bandeja | 1 Kilo
Palitos de surimi Hacendado | Paquete | 460 Gramos
Palitos de surimi Hacendado ultracongelados | Paquete | 600 Gramos
Muslitos de surimi Hacendado ultracongelados | Paquete | 450 Gramos
Delicias del mar de surimi Hacendado | Bandeja | 250 Gramos
Preparado de paella y sopa Hacendado ultracongelado | Paquete | 685 Gramos escurrido
Arreglo de marisco pelado | Bandeja | 450 Gramos aprox.
Gambón congelado | Granel | 150 Gramos aprox.
Gambón grande congelado | Caja | 2 Kilos
Langostino cocido | Granel | 150 Gramos aprox.
Langostino crudo Hacendado ultracongelado | Caja | 600 Gramos escurrido
Gamba arrocera pequeña Hacendado congelada | Caja | 400 Gramos
Gamba cocida | Bandeja | 300 Gramos
Gamba pelada cruda tamaño mediano Hacendado ultracongelada | Paquete | 360 Gramos escurrido
Gamba pelada cruda tamaño grande Hacendado ultracongelada | Paquete | 360 Gramos escurrido
Camarón boreal cocido y pelado Royal Greenland ultracongelado | Paquete | 200 Gramos
Langostino cocido y pelado Hacendado ultracongelado | Bandeja | 220 Gramos escurrido
Langostino crudo y pelado Hacendado ultracongelado | Bandeja | 220 Gramos escurrido
Cigala cruda mediana Hacendado ultracongelada | Caja | 340 Gramos aprox.
Bogavante americano mediano crudo Hacendado | Pieza | 475 Gramos aprox. escurrido
Buey de mar cocido Hacendado congelado | Pieza | 715 Gramos aprox.
Nécora cocida Hacendado congelada | Caja | 500 Gramos escurrido
Colas de gambón crudo Hacendado congelado | Bandeja | 250 Gramos
Langostino cocido | Bandeja | 600 Gramos aprox.
Salpicón de marisco Hacendado | Bandeja | 400 Gramos aprox.
Mejillón | Malla | 1 Kilo
Carne de mejillón de Chile cocido Hacendado ultracongelado | Paquete | 275 Gramos escurrido
Mejillón de Chile entero cocido Hacendado ultracongelado | Caja | 450 Gramos
Almeja japonesa | Malla | 500 Gramos
Almeja Hacendado congelada | Paquete | 450 Gramos
Berberechos | Malla | 500 Gramos
Navajas | Malla | 500 Gramos
Chirla | Malla | 500 Gramos
Mejillón selección | Malla | 1 Kilo
Mejillón vivo | Bandeja | 1 Kilo
Palitos de surimi Hacendado | Paquete | 460 Gramos
Palitos de surimi Hacendado ultracongelados | Paquete | 600 Gramos
Muslitos de surimi Hacendado ultracongelados | Paquete | 450 Gramos
Delicias del mar de surimi Hacendado | Bandeja | 250 Gramos
Preparado de paella y sopa Hacendado ultracongelado | Paquete | 685 Gramos escurrido
Arreglo de marisco pelado | Bandeja | 450 Gramos aprox.
Gambón congelado | Granel | 150 Gramos aprox.
Gambón grande congelado | Caja | 2 Kilos
Langostino cocido | Granel | 150 Gramos aprox.
Langostino crudo Hacendado ultracongelado | Caja | 600 Gramos escurrido
Gamba arrocera pequeña Hacendado congelada | Caja | 400 Gramos
Gamba cocida | Bandeja | 300 Gramos
Gamba pelada cruda tamaño mediano Hacendado ultracongelada | Paquete | 360 Gramos escurrido
Gamba pelada cruda tamaño grande Hacendado ultracongelada | Paquete | 360 Gramos escurrido
Camarón boreal cocido y pelado Royal Greenland ultracongelado | Paquete | 200 Gramos
Langostino cocido y pelado Hacendado ultracongelado | Bandeja | 220 Gramos escurrido
Langostino crudo y pelado Hacendado ultracongelado | Bandeja | 220 Gramos escurrido
Cigala cruda mediana Hacendado ultracongelada | Caja | 340 Gramos aprox.
Bogavante americano mediano crudo Hacendado | Pieza | 475 Gramos aprox. escurrido
Buey de mar cocido Hacendado congelado | Pieza | 715 Gramos aprox.
Nécora cocida Hacendado congelada | Caja | 500 Gramos escurrido
Colas de gambón crudo Hacendado congelado | Bandeja | 250 Gramos
Langostino cocido | Bandeja | 600 Gramos aprox.
Salpicón de marisco Hacendado | Bandeja | 400 Gramos aprox.
Mejillón | Malla | 1 Kilo
Carne de mejillón de Chile cocido Hacendado ultracongelado | Paquete | 275 Gramos escurrido
Mejillón de Chile entero cocido Hacendado ultracongelado | Caja | 450 Gramos
Almeja japonesa | Malla | 500 Gramos
Almeja Hacendado congelada | Paquete | 450 Gramos
Berberechos | Malla | 500 Gramos
Navajas | Malla | 500 Gramos
Chirla | Malla | 500 Gramos
Mejillón selección | Malla | 1 Kilo
Mejillón vivo | Bandeja | 1 Kilo
Palitos de surimi Hacendado | Paquete | 460 Gramos
Palitos de surimi Hacendado ultracongelados | Paquete | 600 Gramos
Muslitos de surimi Hacendado ultracongelados | Paquete | 450 Gramos
Delicias del mar de surimi Hacendado | Bandeja | 250 Gramos
Bocaditos en salsa gato adulto Lechat Excellence con pollo | pavo y verduras | Bote
Bocaditos en salsa gato adulto Lechat Excellence con salmón | trucha  y verduras | Bote
Mousse con lenguado y salmón gato adulto Delikuit | Caja | 4 tarrinas (340 g)
Mousse con ternera y pollo gato adulto Delikuit | Caja | 4 tarrinas (340 g)
Bocaditos en gelatina gato júnior Delikuit con pollo y pavo | Paquete | 8 Unidades (800 g)
Bocaditos en gelatina gato adulto Delikuit | Caja | 8 Unidades (800 g)
Bocaditos en gelatina gato adulto Delikuit | Caja | 8 Unidades (800 g)
Gelatina gato adulto selección de aves Quartett | Paquete | 4 Unidades (340 g)
Gelatina gato adulto selección de pescado Quartett | Paquete | 4 Unidades (340 g)
Bocaditos en salsa gato adulto Delikuit esterilizado | Caja | 8 Unidades (800 g)
Paté gato júnior Delikuit con pollo y ternera | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con pollo y ternera | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con salmón y atún | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con ternera | Bote | 395 Gramos
Comida gato júnior Compy con pollo | frutas y verduras | Paquete
Comida gato adulto Compy con pollo | ternera | frutas y verduras
Comida gato adulto Compy con pollo | ternera | frutas y verduras
Comida gato adulto Compy con salmón | atún | frutas y verduras
Comida gato adulto Compy con salmón | atún | frutas y verduras
Comida gato adulto esterilizado light Compy con pollo | frutas y verduras | Paquete
Comida gato júnior Supreme Compy con pollo | frutas y verduras | Paquete
Comida gato adulto Supreme Compy con pollo | frutas y verduras | Paquete
Comida gato adulto esterilizado light Supreme Compy con pollo fresco | frutas y verduras | Paquete
Comida gato adulto Supreme Compy con salmón | frutas y verduras | Paquete
Comida gato sénior Supreme Compy con pollo fresco | frutas y verduras | Paquete
Arena para gato antibacterias Nuske | Paquete | 5 Kilos
Arena para gato aglomerante Nuske perfumada | Caja | 5 Kilos
Arena para gato de perlas sílice Single | Paquete | 4 Litros
Hierba para gatos Natura | Caja | 120 Gramos
Malta para gato Natura con queso | Tubo | 100 Gramos
Agua de colonia para perros y gatos Krislin | Spray | 250 Mililitros
Champú perros y gatos con aloe vera Nuske efecto repelente | Botella | 310 Mililitros
Snacks gato rellenos con salmón y malta Compy | Paquete | 70 Gramos
Snack gato aperitivo líquido Compy | Caja | 8 sticks (120 g)
Snacks gato rellenos con pollo y malta Compy | Paquete | 70 Gramos
Snack gato barritas Compy de pollo e hígado | Paquete | 10 sticks (50 g)
Snack gato barritas Compy de salmón y trucha | Paquete | 10 sticks (50 g)
Snack gato crunchy con hierba gatera Compy cuidado de dientes | Paquete | 70 Gramos
Bocaditos en salsa gato adulto Lechat Excellence con pollo | pavo y verduras | Bote
Bocaditos en salsa gato adulto Lechat Excellence con salmón | trucha  y verduras | Bote
Mousse con lenguado y salmón gato adulto Delikuit | Caja | 4 tarrinas (340 g)
Mousse con ternera y pollo gato adulto Delikuit | Caja | 4 tarrinas (340 g)
Bocaditos en gelatina gato júnior Delikuit con pollo y pavo | Paquete | 8 Unidades (800 g)
Bocaditos en gelatina gato adulto Delikuit | Caja | 8 Unidades (800 g)
Bocaditos en gelatina gato adulto Delikuit | Caja | 8 Unidades (800 g)
Gelatina gato adulto selección de aves Quartett | Paquete | 4 Unidades (340 g)
Gelatina gato adulto selección de pescado Quartett | Paquete | 4 Unidades (340 g)
Bocaditos en salsa gato adulto Delikuit esterilizado | Caja | 8 Unidades (800 g)
Paté gato júnior Delikuit con pollo y ternera | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con pollo y ternera | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con salmón y atún | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con ternera | Bote | 395 Gramos
Comida gato júnior Compy con pollo | frutas y verduras | Paquete
Comida gato adulto Compy con pollo | ternera | frutas y verduras
Comida gato adulto Compy con pollo | ternera | frutas y verduras
Comida gato adulto Compy con salmón | atún | frutas y verduras
Comida gato adulto Compy con salmón | atún | frutas y verduras
Comida gato adulto esterilizado light Compy con pollo | frutas y verduras | Paquete
Comida gato júnior Supreme Compy con pollo | frutas y verduras | Paquete
Comida gato adulto Supreme Compy con pollo | frutas y verduras | Paquete
Comida gato adulto esterilizado light Supreme Compy con pollo fresco | frutas y verduras | Paquete
Comida gato adulto Supreme Compy con salmón | frutas y verduras | Paquete
Comida gato sénior Supreme Compy con pollo fresco | frutas y verduras | Paquete
Arena para gato antibacterias Nuske | Paquete | 5 Kilos
Arena para gato aglomerante Nuske perfumada | Caja | 5 Kilos
Arena para gato de perlas sílice Single | Paquete | 4 Litros
Hierba para gatos Natura | Caja | 120 Gramos
Malta para gato Natura con queso | Tubo | 100 Gramos
Agua de colonia para perros y gatos Krislin | Spray | 250 Mililitros
Champú perros y gatos con aloe vera Nuske efecto repelente | Botella | 310 Mililitros
Snacks gato rellenos con salmón y malta Compy | Paquete | 70 Gramos
Snack gato aperitivo líquido Compy | Caja | 8 sticks (120 g)
Snacks gato rellenos con pollo y malta Compy | Paquete | 70 Gramos
Snack gato barritas Compy de pollo e hígado | Paquete | 10 sticks (50 g)
Snack gato barritas Compy de salmón y trucha | Paquete | 10 sticks (50 g)
Snack gato crunchy con hierba gatera Compy cuidado de dientes | Paquete | 70 Gramos
Bocaditos en salsa gato adulto Lechat Excellence con pollo | pavo y verduras | Bote
Bocaditos en salsa gato adulto Lechat Excellence con salmón | trucha  y verduras | Bote
Mousse con lenguado y salmón gato adulto Delikuit | Caja | 4 tarrinas (340 g)
Mousse con ternera y pollo gato adulto Delikuit | Caja | 4 tarrinas (340 g)
Bocaditos en gelatina gato júnior Delikuit con pollo y pavo | Paquete | 8 Unidades (800 g)
Bocaditos en gelatina gato adulto Delikuit | Caja | 8 Unidades (800 g)
Bocaditos en gelatina gato adulto Delikuit | Caja | 8 Unidades (800 g)
Gelatina gato adulto selección de aves Quartett | Paquete | 4 Unidades (340 g)
Gelatina gato adulto selección de pescado Quartett | Paquete | 4 Unidades (340 g)
Bocaditos en salsa gato adulto Delikuit esterilizado | Caja | 8 Unidades (800 g)
Paté gato júnior Delikuit con pollo y ternera | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con pollo y ternera | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con salmón y atún | Paquete | 4 Unidades (400 g)
Paté gato adulto Delikuit con ternera | Bote | 395 Gramos
Comida gato júnior Compy con pollo | frutas y verduras | Paquete
Comida gato adulto Compy con pollo | ternera | frutas y verduras
Comida gato adulto Compy con pollo | ternera | frutas y verduras
Comida gato adulto Compy con salmón | atún | frutas y verduras
Comida gato adulto Compy con salmón | atún | frutas y verduras
Comida gato adulto esterilizado light Compy con pollo | frutas y verduras | Paquete
Comida gato júnior Supreme Compy con pollo | frutas y verduras | Paquete
Comida gato adulto Supreme Compy con pollo | frutas y verduras | Paquete
Comida gato adulto esterilizado light Supreme Compy con pollo fresco | frutas y verduras | Paquete
Comida gato adulto Supreme Compy con salmón | frutas y verduras | Paquete
Comida gato sénior Supreme Compy con pollo fresco | frutas y verduras | Paquete
Arena para gato antibacterias Nuske | Paquete | 5 Kilos
Arena para gato aglomerante Nuske perfumada | Caja | 5 Kilos
Arena para gato de perlas sílice Single | Paquete | 4 Litros
Hierba para gatos Natura | Caja | 120 Gramos
Malta para gato Natura con queso | Tubo | 100 Gramos
Agua de colonia para perros y gatos Krislin | Spray | 250 Mililitros
Champú perros y gatos con aloe vera Nuske efecto repelente | Botella | 310 Mililitros
Snacks gato rellenos con salmón y malta Compy | Paquete | 70 Gramos
Snack gato aperitivo líquido Compy | Caja | 8 sticks (120 g)
Snacks gato rellenos con pollo y malta Compy | Paquete | 70 Gramos
Snack gato barritas Compy de pollo e hígado | Paquete | 10 sticks (50 g)
Snack gato barritas Compy de salmón y trucha | Paquete | 10 sticks (50 g)
Snack gato crunchy con hierba gatera Compy cuidado de dientes | Paquete | 70 Gramos
Berlina al cacao | Paquete | 4 Unidades (240 g)
Berlina glacé | Paquete | 4 Unidades (200 g)
Rosquillas al cacao | Paquete | 7 Unidades (182 g)
12 Mini croissants de mantequilla | Bolsa | 12 Unidades (240 g)
6 Croissant rellenos de cacao | Bolsa | 6 Unidades (280 g)
Bizcocho de chocolate sin gluten y sin lactosa | Paquete | 300 Gramos
Bizcocho azúcar sin gluten | Paquete | 300 Gramos
Bizcocho de cacao | Paquete | 410 Gramos
Bizcocho con azúcar moreno y nueces | Bandeja | 400 Gramos
Bizcocho de yogur Hacendado | Paquete | 800 Gramos
8 Magdalenas con azúcar | Bolsa | 8 Unidades (380 g)
8 Magdalenas con pepitas de chocolate | Bolsa | 8 Unidades (380 g)
Croissant de mantequilla 26% | Pieza | 50 Gramos
Trenza con nueces 4% | Pieza | 80 Gramos
Pastel de crema 65% | Pieza | 55 Gramos
Ensaimada | Pieza | 83 Gramos
Napolitana de chocolate 26% | Pieza | 100 Gramos
Caracola con pasas 10% | Pieza | 103 Gramos
Muffin chocolate 3% | Pieza | 120 Gramos
3 Susos relleno de crema | Bandeja | 3 Unidades (153 g)
8 Croissants surtidos rellenos de crema de cacao y crema con leche sabor a chocolate blanco | Bandeja | 8 Unidades (300 g)
Napolitana de crema 28% | Pieza | 100 Gramos
Berlina con cobertura y trozos de pistacho rellena de crema sabor pistacho | Pieza | 90 Gramos
12 Mini saladas surtidas | Bolsa | 12 Unidades (195 g)
Napolitana mixta | Pieza | 130 Gramos
Empanada de atún | Pieza | 500 Gramos
Empanada de atún grande | Pieza | 1,12 Kilos
Empanada rellena de pollo y setas con crema de queso | Pieza | 500 Gramos
24 Mini saladas surtidas | Bandeja | 24 Unidades (390 g)
Empanadilla de pollo 10% y bechamel | Pieza | 98 Gramos
Empanadilla de atún 16% | Pieza | 125 Gramos
Hojaldre sabor pizza | Pieza | 100 Gramos
Berlina al cacao | Paquete | 4 Unidades (240 g)
Berlina glacé | Paquete | 4 Unidades (200 g)
Rosquillas al cacao | Paquete | 7 Unidades (182 g)
12 Mini croissants de mantequilla | Bolsa | 12 Unidades (240 g)
6 Croissant rellenos de cacao | Bolsa | 6 Unidades (280 g)
Bizcocho de chocolate sin gluten y sin lactosa | Paquete | 300 Gramos
Bizcocho azúcar sin gluten | Paquete | 300 Gramos
Bizcocho de cacao | Paquete | 410 Gramos
Bizcocho con azúcar moreno y nueces | Bandeja | 400 Gramos
Bizcocho de yogur Hacendado | Paquete | 800 Gramos
8 Magdalenas con azúcar | Bolsa | 8 Unidades (380 g)
8 Magdalenas con pepitas de chocolate | Bolsa | 8 Unidades (380 g)
Croissant de mantequilla 26% | Pieza | 50 Gramos
Trenza con nueces 4% | Pieza | 80 Gramos
Pastel de crema 65% | Pieza | 55 Gramos
Ensaimada | Pieza | 83 Gramos
Napolitana de chocolate 26% | Pieza | 100 Gramos
Caracola con pasas 10% | Pieza | 103 Gramos
Muffin chocolate 3% | Pieza | 120 Gramos
3 Susos relleno de crema | Bandeja | 3 Unidades (153 g)
8 Croissants surtidos rellenos de crema de cacao y crema con leche sabor a chocolate blanco | Bandeja | 8 Unidades (300 g)
Napolitana de crema 28% | Pieza | 100 Gramos
Berlina con cobertura y trozos de pistacho rellena de crema sabor pistacho | Pieza | 90 Gramos
12 Mini saladas surtidas | Bolsa | 12 Unidades (195 g)
Napolitana mixta | Pieza | 130 Gramos
Empanada de atún | Pieza | 500 Gramos
Empanada de atún grande | Pieza | 1,12 Kilos
Empanada rellena de pollo y setas con crema de queso | Pieza | 500 Gramos
24 Mini saladas surtidas | Bandeja | 24 Unidades (390 g)
Empanadilla de pollo 10% y bechamel | Pieza | 98 Gramos
Empanadilla de atún 16% | Pieza | 125 Gramos
Hojaldre sabor pizza | Pieza | 100 Gramos
Berlina al cacao | Paquete | 4 Unidades (240 g)
Berlina glacé | Paquete | 4 Unidades (200 g)
Rosquillas al cacao | Paquete | 7 Unidades (182 g)
12 Mini croissants de mantequilla | Bolsa | 12 Unidades (240 g)
6 Croissant rellenos de cacao | Bolsa | 6 Unidades (280 g)
Bizcocho de chocolate sin gluten y sin lactosa | Paquete | 300 Gramos
